qid	query	pid	document	score	new_rank
438286	leadership coaching definition	1246523	Leadership is the ability to help people achieve things they don't think are possible. Leaders are coaches with a passion for developing people, not players; they get satisfaction from achieving objects through others.	7.498700141906738	1
438286	leadership coaching definition	6015074	Leadership Coaching, however, is a collaborative, individualised relationship between a leader and the coach â the leader could well be an executive, manager, supervisor, team leader or business owner for example â anyone in charge or responsible for a group of people.Coaching is a partnership.eadership Coaching, however, is a collaborative, individualised relationship between a leader and the coach â the leader could well be an executive, manager, supervisor, team leader or business owner for example â anyone in charge or responsible for a group of people. Coaching is a partnership.	7.317299365997314	2
438286	leadership coaching definition	8594225	Coaching is the gentle nudge of your leadership to get people back on track. Coaching is the side conversation that helps people see a better way or a different perspective. Coaching is helping people get better every day, rather than just when they mess up. Being a leader of leaders means thinking about your people and coaching them every day. Correct	7.174153327941895	3
438286	leadership coaching definition	6015070	Coaching is training or development in which a person called a coach supports a learner in achieving a specific personal or professional goal.The learner is sometimes called a coachee.usiness coaching is a type of human resource development. It provides positive support, feedback and advice on an individual or group basis to improve personal effectiveness in the business setting. Business coaching is also called executive coaching, corporate coaching or leadership coaching.	6.36569881439209	4
438286	leadership coaching definition	7405391	Definition of Coaching, Definition of Mentoring. Definition of coaching provided by Leadership Connections, experts in coaching for individuals and organisations. Read our free definition of coaching, which explains the meaning of coaching, what coaching includes and what coaching looks like. Like any new management term, the meaning of Coaching has become less clear as more and more people adopt it and use it, sometimes loosely, to describe different things.	6.328489780426025	5
438286	leadership coaching definition	7405396	I would have to prove leadership coaching brings tangible, measurable value to the. bottom line of the organization. What I needed was to present a clear picture of what coaching is. and what it can accomplish, and to accompany that with measurable, business value aligned. results. Okay, I thought, I can work with that conceptualization of my bossâs challenge. First, I sought to. find a clear definition of leadership coaching.	6.261855602264404	6
438286	leadership coaching definition	816866	Business coaching is a type of human resource development. It provides positive support, feedback and advice on an individual or group basis to improve personal effectiveness in the business setting. Business coaching is also called executive coaching, corporate coaching or leadership coaching.	6.219947814941406	7
438286	leadership coaching definition	1883176	Business coaching is a type of human resource development. It provides positive support, feedback and advice on an individual or group basis to improve personal effectiveness in the business setting. Business coaching is also called executive coaching, corporate coaching or leadership coaching.here is no certification or licensing required to be a business or executive coach, and membership of a coaching organization is optional. Further, standards and methods of training coaches can vary widely between coaching organizations.	5.992535591125488	8
438286	leadership coaching definition	7166198	Coach individuals, teams, and groups. 1  Consistently practice reflection, self-observation, and self-correction. 2  Demonstrate fluency in the domains of language, body, and emotion. 3  Understand leadership coaching as an organizational intervention. 4  Define and provide the elements of the coaching relationship.	5.9316253662109375	9
438286	leadership coaching definition	6015077	Business coaching is a type of human resource development. It provides positive support, feedback and advice on an individual or group basis to improve personal effectiveness in the business setting. Business coaching is also called executive coaching, corporate coaching or leadership coaching.usiness coaching is a type of human resource development. It provides positive support, feedback and advice on an individual or group basis to improve personal effectiveness in the business setting. Business coaching is also called executive coaching, corporate coaching or leadership coaching.	5.741177082061768	10
438286	leadership coaching definition	2699573	Why Leadership Style is Important. Leadership style refers to an approach taken by a particular leader. It might refer to a directive or commanding style or a participative or collaborative style. It might equally refer to a leader who has a visionary style or who is coaching-centered. There are many other style labels that we might add.	3.74495530128479	1000
438286	leadership coaching definition	6970987	One of their definitions is a process by which a person influences others to accomplish a mission (U.S. Army, 1983). Leadership is inspiring others to pursue your vision within the parameters you set, to the extent that it becomes a shared effort, a shared vision, and a shared success (Zeitchik, 2012). Leadership is a process of social influence, which maximizes the efforts of others, towards the achievement of a goal (Kruse, 2013).	3.57376480102539	1001
438286	leadership coaching definition	803255	Definition of leader: A person or thing that holds a dominant or superior position within its field, and is able to exercise a high degree of control or influence over others. See also leadership. She wanted to be the leader of the group, because she thought that she had the best ideas out of anybody.	3.25472092628479	1002
438286	leadership coaching definition	7405390	This chapter firstly explores the concept of coaching and leadership by coaching, and goes. on to discuss situational leadership. Finally, letâs examine the delegating style, as youâll be. delegating more and more if your employees are self-directed.	2.761674642562866	1003
438286	leadership coaching definition	536891	Our coaching is an essential part of transforming learning into results. We offer individual executive coaching over Skype starting with a no-charge discovery phase. We also offer face to face corporate leadership and team coaching based on a proven process and a 12 Months âNo Growth, No Payâ guarantee. Stakeholder Coaching, Stakeholder Leadership Coaching and Stakeholder Team Coaching.	2.640045642852783	1004
438286	leadership coaching definition	4102331	For example: if the railway coach company normally produced 40 coaches per month, and the fixed costs were still $1000/month, then each coach could be said to incur an Operating Cost/overhead of $25 =($1000 / 40). Adding this to the variable costs of $300 per coach produced a full cost of $325 per coach.	-11.134543418884276	1005
438286	leadership coaching definition	7548569	A blessing definitely!! To me however, I feel like mineral wealth is not as valuable as character wealth that we have seen in some of the African icons like Mandela just to name one. We all should learn from the kind of leadership that Mandela and the likes have shown us.	-11.143577575683594	1006
438286	leadership coaching definition	481161	Write thank you notes to people such as coaches and teachers who were especially helpful throughout your school years. Don't limit the cards to those who gave you gifts. Try to mail your cards within a week or two of receiving them, but definitely no more than a month later.	-11.150240898132324	1007
438286	leadership coaching definition	3031011	Named one of the top five startups likely to IPO in 2017 by CB Insights, the billion-dollar, Utah-based startup is edging closer to an IPO as it brings on new leadership. Sources familiar with the company tell Business Insider that the survey and research company is definitely on track for an IPO.	-11.22145652770996	1008
438286	leadership coaching definition	6620279	Look in the Related Links for an article that discusses the Buckeyes and it mentions their title history. Keep in mind this was pre-2002 championship. Ohio State has definitely won 7 National Titles, 3 of those were under the reign of Coach Woody Hayes.	-11.23079776763916	1009
438324	leading causes of death who	2208485	Heart disease remains the leading cause of death in the US, accounting for 1 in every 4 deaths, and affecting significantly more men than women. Contents of this article: 1  Top 10 leading causes of death. 2  Top 10 leading causes of death in more detail. 3  Heart disease. 4  Cancer. 5  Chronic lower respiratory disease. 6  Accidents. 7  Stroke. 8  Alzheimer's disease. 9  Diabetes.	9.502943992614746	1
438324	leading causes of death who	4104203	1: Heart disease. Heart disease is the leading cause of death in the U.S. Heart disease is the leading cause of death for both men and women in the U.S. and also the leading cause of death worldwide. More than half of the deaths that occur as a result of heart disease are in men.	9.490692138671877	2
