qid	query	pid	document	score	new_rank
2235	Bethel University was founded in what year	7609419	Bethel University is a private institution that was founded in 1871. It has a total undergraduate enrollment of 3,051, its setting is suburban, and the campus size is 289 acres.	9.348297119140623	1
2235	Bethel University was founded in what year	7609418	Bethel University is a private institution that was founded in 1871. It has a total undergraduate enrollment of 3,051, its setting is suburban, and the campus size is 289 acres. It utilizes a 4-1-4-based academic calendar.	9.343791007995604	2
2235	Bethel University was founded in what year	7609417	Bethel University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 4,792, its setting is rural, and the campus size is 100 acres. It utilizes a program-based academic calendar.	9.313786506652832	3
2235	Bethel University was founded in what year	7609420	Summary. Bethel University is a private institution that was founded in 1871. It has a total undergraduate enrollment of 3,051, its setting is suburban, and the campus size is 289 acres. It utilizes a 4-1-4-based academic calendar.	9.29204273223877	4
2235	Bethel University was founded in what year	5334049	Founded in 1887 and conferring its first four-year degrees in 1912, Bethel is the oldest Mennonite college in North America. Starting in 1874, thousands of Russian Mennonites began arriving in Kansas.	8.8678560256958	5
2235	Bethel University was founded in what year	4528126	School Site: Online MBA Overview | Tuition | Financial Aid. Founded in 1842, Bethel Universityâs mission is to create opportunities for members of the learning community to develop to their highest potential as whole persons â intellectually, spiritually, socially and physically â in a Christian environment.	8.565070152282715	6
2235	Bethel University was founded in what year	4036921	John Alexis Edgren founded Bethel as a seminary in 1871, with the name Baptist Union Theological Seminary. The seminary trained pastors to serve Swedish Baptist immigrants, fleeing religious persecution in Europe. Edgren, a sea captain and scholar who knew 30 languages, founded Bethel on the enduring conviction that Christians ought to love God with their minds and represent Him in all fields.	7.886170387268066	7
2235	Bethel University was founded in what year	4036918	Bethel was founded in Royston in 1924. Several people in the town had become dissatisfied with the dry religion that they were experiencing at the time. They decided to seek God in prayer in order to find answers to why they were not enjoying the same life and power of the Christians described in the Bible.	7.754258155822754	8
2235	Bethel University was founded in what year	7893150	By the 1890s the administration aspired to model the curriculum after that offered at the University of Virginia with an aim to make it equal to any of the male colleges in the state. It became Bethel Women's Jr. College in 1917; it became co-ed in 1951; and it closed in 1964. Brescia University, Owensboro, started in 1925 as Mount Saint Joseph College for Women, a junior college in the nearby rural community of Maple Mount.	6.236228466033936	9
2235	Bethel University was founded in what year	4036922	Bethel Church (Redding, California) Bethel Church is a non-denominational charismatic church that was established in Redding, California, as an Assemblies of God congregation in 1954 and broke with the AofG in 2006. The Bethel School of Supernatural Ministry was founded by the church in 1998. Contents.	4.895596981048584	10
2235	Bethel University was founded in what year	4032358	Born into slavery in 1760, Richard Allen purchased his own freedom for $2000 at the age of 20. He became a devoted Methodist preacher and founded the Mother Bethel African Methodist Episcopal Church in 1794. The American Revolution, as an anti-tax movement, centered on Americans' right to control their own property.lavery was a central institution in American society during the late-18th century, and was accepted as normal and applauded as a positive thing by many white Americans. However, this broad acceptance of slavery (which was never agreed to by black Americans) began to be challenged in the Revolutionary Era.	-0.4646621942520141	1000
2235	Bethel University was founded in what year	3473191	Softball's Roster Grows with Addition of Kathryn Childers. Softball - Wed, Aug. 10, 2016. Bethel softball is pleased to announce that Kathryn Childers has signed a letter of intent to continue her academic and athletic career at Bethel College beginning in the fall of 2016.	-0.5929476618766785	1001
2235	Bethel University was founded in what year	5577157	The University of Texas of the Permian Basin (UTPB) is a state university located in Odessa, Texas. It was authorized by the Texas Legislature in 1969 and founded in 1973. Its official Spring 2016 enrollment was a record high 6,050, a 15% increase in headcount since the previous year.	-0.9787167310714722	1002
2235	Bethel University was founded in what year	1904976	Founded in 1853, Arcadia University is Philadelphia's global university and a pioneer in international education. It is a top-ranked private university offering bachelor's, master's and doctoral degrees. In addition to six colleges and schools in the United States, we have 10 centers and offices around the world.1853) In December, a charter was granted to Beaver Female Seminary in Beaver, PA., planting the seeds of the future Arcadia University. (1884) First May Day dance and pageant celebration. (1889) A four-year degree program is instituted for women in May, and internationally known author Rudyard Kipling visits.	-1.0982211828231812	1003
